指标,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年
法人单位数(个),22009092,18191382,15729199,13701440,10825611,10616530,9593729,8754588,8003868
农、林、牧、渔业法人单位数(个),1926771,1481473,1204724,951045,161824,440853,321086,242429,184764
采矿业法人单位数(个),108900,104074,103426,101673,89112,107596,105490,104065,103403
制造业法人单位数(个),3483617,3019269,2801143,2616671,2252225,2380759,2240315,2098370,1959254
电力、燃气及水的生产和供应业法人单位数(个),120736,99469,87486,79679,70409,69947,66652,64151,62038
建筑业法人单位数(个),1045232,754512,574128,464975,347519,391392,346026,302232,261694
交通运输、仓储和邮政业法人单位数(个),540994,443325,378705,323044,262048,249832,219630,195829,175914
信息传输、计算机服务和软件业法人单位数(个),719150,507674,387842,289162,226107,245669,208867,191182,176326
批发和零售业法人单位数(个),6252424,5041698,4199026,3513338,2810531,2630690,2276295,1965118,1670315
住宿和餐饮业法人单位数(个),378974,317619,274283,235337,199592,186837,172070,164762,154895
金融业法人单位数(个),135068,122516,109711,91583,,67554,55513,45512,36907
房地产业法人单位数(个),642893,533557,466100,419618,343924,356717,323985,284726,244043
租赁和商务服务业法人单位数(个),2242096,1768005,1440572,1161947,916953,813851,687575,590478,511666
科学研究、技术服务和地质勘查业法人单位数(个),1035170,813251,661022,544309,455778,324932,283777,256865,233221
水利、环境和公共设施管理业法人单位数(个),146295,122367,108069,97522,84803,75981,69186,64794,61740
居民服务和其他服务业法人单位数(个),420667,359932,298958,242251,190692,196880,175813,158152,141936
教育业法人单位数(个),517739,486026,461451,444038,413908,355072,346390,342408,342003
卫生、社会保障和社会福利业法人单位数(个),286858,275554,271571,265537,249567,206885,205173,205778,209016
文化、体育和娱乐业法人单位数(个),414973,341182,297274,263384,230544,121126,102775,95633,90891
公共管理和社会组织法人单位数(个),1590535,1599879,1603708,1596327,1520075,1393957,1387111,1382104,1383842
